Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;35.21815,128.57425;;22.0;;2026-01-19T08:00:00Z;
;;;;54.88361359025449,23.83583450024486;;-1.0;;2026-01-15T23:00:00Z;
;;;;40.1465,117.07089999999998;;16.0;;2021-08-09T11:00:00Z;
;;;;37.64553,-118.96676;;9.0;;2025-08-09T14:00:00Z;
;;;;53.129418999879455,23.108024999656525;;6.0;;2024-12-09T12:00:00Z;
;;;;38.59246,-82.80677;;6.1;;2026-01-19T08:00:00Z;
;;;;29.966942,76.875879;;154.81;;2022-10-31T01:45:00Z;
;;;;45.08163372052002,13.643801808266366;;15.872727220708674;;2024-07-21T20:00:00Z;
;;;;-38.32676,146.3261;;0.91;;2026-01-19T08:00:00Z;
;;;;38.05043,-122.15454;;19.0;;2026-01-19T08:00:00Z;
;;;;37.68975,-121.77155;;10.0;;2026-01-19T08:00:00Z;
;;;;38.14548,27.36276;;9.551;;2022-10-28T04:00:00Z;
;;;;41.3644,-83.6612;;22.202666664123537;;2026-01-19T09:00:00Z;
;;;;51.966058631890675,6.289890937160651;;40.208499908447266;;2026-01-19T09:00:00Z;
;;;;15.257387898044886,104.03668778711167;;0.0;;2025-01-13T23:00:00Z;
;;;;14.675886,77.593027;;86.11;;2022-10-31T01:45:00Z;
;;;;-27.090836,150.400418;;-9999.0;;2024-05-27T02:00:00Z;
;;;;-14.49654,-71.776884;;6.3;;2025-01-08T11:45:00Z;
;;;;39.403903,-120.195751;;1.0;;2020-01-09T16:00:00Z;
;;;;-41.928,147.491;;0.0;;2025-11-27T12:52:07Z;
;;;;40.48477,-80.09495;;19.62250000635783;;2026-01-07T00:00:00Z;
;;;;26.1403345,85.3650192;;63.0;;2026-01-10T12:00:00Z;
;;;;12.21041,76.37376;;28.76;;2026-01-10T12:15:00Z;
;;;;50.1009772,-122.9864273;;1.1806666620075703;;2026-01-19T09:00:00Z;
;;;;34.1164,108.6116;;20.0;;2021-08-09T11:00:00Z;
;;;;-14.422226,-71.828257;;8.0;;2025-01-05T19:55:00Z;
;;;;37.404167,126.72611099999999;;26.0;;2024-04-12T22:00:00Z;
;;;;28.88528,78.7388;;33.24;;2026-01-10T12:15:00Z;
;;;;19.5329,-99.0303;;4.0;;2023-06-30T13:00:00Z;
;;;;14.7918,75.38959999999999;;20.0;;2022-10-16T16:00:00Z;
;;;;41.18222,-104.77833599999998;;5.0;;2024-07-11T15:00:00Z;
;;;;42.66569999989244,20.305089999895873;;9.58346;;2025-11-27T18:00:00Z;
;;;;38.767533,-119.79887;;10.0;;2017-08-20T18:00:00Z;
;;;;39.1380601097263,34.1682767495831;;5.989;;2023-10-11T10:00:00Z;
;;;;17.460103,78.334361;;23.0;;2026-01-10T12:15:00Z;
;;;;-43.5599449,172.6436133;;0.9084999995927016;;2026-01-19T09:00:00Z;
;;;;22.58157048,88.41002457;;23.3;;2022-10-16T15:45:00Z;
;;;;28.732528,77.11992;;238.0;;2022-10-31T00:45:00Z;
;;;;36.42516799999999,127.395931;;8.0;;2024-07-11T16:00:00Z;
